办税服务厅代码,等候超时率,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,占空比,FWT,kpi
24406060900,16.36,20.0,0.67,16.32,1170.0,175.0,41.2,龙江办税服务厅,89.099999999999994
24406060200,10.18,16.0,2.0,14.99,1301.0,388.0,29.4,大良办税服务厅,88.599999999999994
24406060500,2.57,14.0,2.5,6.61,532.0,163.0,47.7,北窖办税服务厅,87.599999999999994
kpi划分,87.549999999999997,---,---,---,---,---,---,---
24406060800,1.57,12.0,2.02,6.42,463.0,139.0,44.9,勒流办税服务厅,86.900000000000006
24406060700,12.24,14.0,2.2,13.65,808.0,190.0,44.6,乐从办税服务厅,86.299999999999997
24406060100,23.32,13.0,2.43,19.01,1120.0,281.0,46.0,容桂办税服务厅,86.200000000000003
kpi划分,85.944999999999993,---,---,---,---,---,---,---
24406060600,10.85,11.0,2.74,11.96,348.0,98.0,50.3,陈村办税服务厅,85.299999999999997
24406061000,4.83,8.0,2.77,7.24,297.0,79.0,37.0,杏坛办税服务厅,85.0
24406061100,2.07,12.0,1.08,8.46,429.0,81.0,17.4,均安办税服务厅,84.200000000000003
24406060400,12.74,7.0,2.07,14.24,439.0,92.0,45.4,伦教办税服务厅,83.400000000000006
kpi划分,83.103333333333339,---,---,---,---,---,---,---
24406063000,0.0,0.0,0.91,0.0,32.0,6.0,1.2,大企业征收管理办税服务厅,81.900000000000006
24406060200,32.14,4.0,1.77,24.86,334.0,49.0,16.9,大良行政中心,75.599999999999994
