办税服务厅代码,等候超时率,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,占空比,FWT,kpi
24414020000,53.23,26.0,0.7,34.93,4074.0,547.0,29.3,梅江区办税服务厅,90.299999999999997
24414269000,1.22,14.0,0.59,1.89,473.0,121.0,8.2,平远县城区办税服务厅,89.200000000000003
24414229000,26.42,22.0,0.54,15.72,1031.0,214.0,18.5,大埔县城区办税服务厅,89.099999999999994
24414219000,5.3,26.0,0.81,10.4,518.0,176.0,12.4,梅县区城区办税服务厅,88.900000000000006
24414240100,0.0,0.0,0.0,0.0,1103.0,3.0,0.0,五华县华城办税服务厅,88.099999999999994
kpi划分,87.324999999999989,---,---,---,---,---,---,---
24414220500,0.0,1.0,0.24,0.0,155.0,19.0,6.1,大埔县茶阳办税服务厅,86.700000000000003
24414239000,17.57,17.0,0.86,16.92,606.0,148.0,20.0,丰顺县城区办税服务厅,86.5
24414210800,28.44,15.0,1.15,20.15,422.0,77.0,28.3,梅县区南口办税服务厅,86.299999999999997
24414810400,0.0,1.0,0.46,0.0,143.0,17.0,10.0,兴宁市龙田办税服务厅,86.0
kpi划分,85.598809523809507,---,---,---,---,---,---,---
24414240500,0.0,1.0,0.0,0.0,0.0,1.0,0.0,五华县龙村办税服务厅,85.400000000000006
24414240200,0.0,0.0,0.0,0.0,78.0,2.0,0.0,五华县河东办税服务厅,85.400000000000006
24414810200,0.0,1.0,0.01,0.0,1.0,2.0,0.0,兴宁市罗岗办税服务厅,85.299999999999997
24414240800,0.0,1.0,0.01,0.0,137.0,3.0,0.1,五华县潭下办税服务厅,85.299999999999997
24414960004,0.0,1.0,0.07,0.0,46.0,2.0,0.2,梅州市蕉华地税办税服务厅,85.099999999999994
24414260600,0.0,1.0,0.12,0.0,18.0,3.0,0.1,平远县河头办税服务厅,85.0
24414210400,0.0,1.0,0.11,0.0,52.0,3.0,0.7,梅县区松口办税服务厅,85.0
24414231500,0.0,0.0,0.13,0.0,170.0,7.0,1.9,丰顺县留隍办税服务厅,84.900000000000006
24414210300,0.0,0.0,0.16,0.0,55.0,10.0,0.3,梅县区丙雁办税服务厅,84.799999999999997
24414210900,0.0,1.0,0.23,0.0,57.0,6.0,2.0,梅县区大坪办税服务厅,84.599999999999994
24414210200,0.0,0.0,0.25,0.0,72.0,7.0,2.8,梅县区城东办税服务厅,84.5
24414279000,7.39,14.0,0.78,10.01,627.0,162.0,4.5,蕉岭县蕉城办税服务厅,84.400000000000006
24414231600,0.0,0.0,0.31,0.0,61.0,9.0,2.1,丰顺县潭江办税服务厅,84.299999999999997
24414220200,0.0,1.0,0.3,0.0,58.0,8.0,2.2,大埔县枫朗办税服务厅,84.299999999999997
24414220300,0.0,0.0,0.33,0.0,84.0,13.0,2.1,大埔县高陂办税服务厅,84.200000000000003
24414810300,0.0,1.0,0.35,0.0,74.0,5.0,3.0,兴宁市黄陂办税服务厅,84.200000000000003
24414220400,0.0,1.0,0.33,0.0,27.0,5.0,0.3,大埔县大麻办税服务厅,84.200000000000003
24414249000,41.99,22.0,1.08,26.33,608.0,179.0,17.9,五华县城区办税服务厅,84.099999999999994
24414260200,0.0,1.0,0.41,0.0,43.0,5.0,0.5,平远县东石办税服务厅,83.900000000000006
24414240300,0.0,1.0,0.42,0.0,34.0,3.0,0.7,五华县横陂办税服务厅,83.900000000000006
24414240400,0.0,1.0,0.48,0.0,65.0,15.0,1.7,五华县安流办税服务厅,83.700000000000003
24414810600,0.0,1.0,0.5,0.0,124.0,30.0,1.6,兴宁市坭陂办税服务厅,83.599999999999994
kpi划分,83.233809523809526,---,---,---,---,---,---,---
24414210700,0.0,0.0,0.69,0.0,21.0,6.0,1.1,梅县区畲江办税服务厅,83.0
24414231300,0.0,0.0,0.74,0.0,28.0,5.0,0.1,丰顺县丰良办税服务厅,82.799999999999997
24414231100,0.0,0.0,1.02,0.0,20.0,3.0,1.0,丰顺县汤南办税服务厅,81.799999999999997
24414231200,0.0,1.0,1.1,0.0,15.0,3.0,1.2,丰顺县汤西办税服务厅,81.5
24414819000,56.4,19.0,0.38,51.95,1051.0,304.0,3.3,兴宁市城区办税服务厅,79.5
