办税服务厅代码,等候超时率,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,占空比,FWT,kpi
24415910200,8.04,17.0,0.68,8.46,546.0,133.0,4.0,汕尾市城区第二办税服务厅,95.700000000000003
24415210100,6.83,7.0,0.51,6.65,732.0,92.0,3.4,汕尾市海丰县办税服务厅,95.299999999999997
kpi划分,91.583333333333343,---,---,---,---,---,---,---
24415230100,5.23,4.0,0.36,7.45,325.0,33.0,2.8,汕尾市陆河县办税服务厅,90.799999999999997
24415910100,8.68,4.0,0.64,9.21,223.0,33.0,1.5,汕尾市城区第一办税服务厅,87.400000000000006
24415210000,0.0,2.0,0.05,1.28,1.0,4.0,0.0,陆丰市博美分局,86.5
kpi划分,85.583333333333343,---,---,---,---,---,---,---
24415210000,0.0,1.0,0.0,6.98,0.0,1.0,0.0,陆丰市星都分局,85.0
24415812200,8.59,5.0,1.73,11.9,363.0,62.0,2.6,陆丰市办税服务厅,84.799999999999997
24415210000,16.67,2.0,0.0,7.25,1.0,2.0,0.0,陆丰市大安分局,83.900000000000006
24415210000,25.0,1.0,0.0,14.55,0.0,4.0,0.0,陆丰市碣石分局,81.299999999999997
24415210000,20.0,2.0,0.0,17.17,0.0,5.0,0.0,陆丰市内湖分局,80.799999999999997
kpi划分,78.925000000000011,---,---,---,---,---,---,---
24415210000,100.0,2.0,0.0,21.92,12.0,2.0,0.0,陆丰市甲子分局,74.599999999999994
24415210000,50.0,2.0,0.0,34.05,0.0,2.0,0.0,陆丰市南塘分局,74.099999999999994
