办税服务厅代码,等候超时率,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,占空比,FWT,kpi
24412020009,4.56,14.0,2.26,5.5,559.0,118.0,25.9,端州区契税征收办税服务厅,91.900000000000006
24412020100,6.37,10.0,1.51,7.33,2098.0,487.0,0.0,端州区城西办税服务厅,91.5
24412830500,0.5,10.0,0.66,5.03,400.0,55.0,19.6,高要市金利办税服务厅,90.099999999999994
24412020008,5.14,24.0,0.82,5.5,692.0,191.0,14.8,端州区车船税征收办税服务厅,90.0
24412230100,8.19,10.0,1.49,8.18,544.0,122.0,18.0,广宁县城区办税服务厅,89.099999999999994
24412260100,4.91,14.0,2.16,6.57,326.0,156.0,22.7,德庆县城区办税服务厅,88.200000000000003
24412840100,8.29,13.0,1.28,9.12,1248.0,279.0,0.0,四会市城区办税服务厅,87.799999999999997
kpi划分,87.325714285714284,---,---,---,---,---,---,---
24412030003,4.3,11.0,1.28,6.29,405.0,100.0,0.0,鼎湖区征收办税服务厅,86.400000000000006
24412260300,0.0,1.0,0.47,0.93,36.0,4.0,1.4,德庆县莫村办税服务厅,86.099999999999994
24412830300,1.01,5.0,0.49,1.98,160.0,36.0,4.3,高要市新桥办税服务厅,85.900000000000006
24412830200,1.07,3.0,0.69,2.31,144.0,21.0,5.0,高要市禄步办税服务厅,85.599999999999994
kpi划分,85.299999999999983,---,---,---,---,---,---,---
24412250600,0.0,1.0,0.15,4.29,50.0,3.0,0.9,封开县南丰办税服务厅,84.799999999999997
24412040001,12.06,16.0,0.65,10.76,453.0,155.0,2.6,高新区大旺办税厅,84.799999999999997
24412250100,14.15,9.0,1.96,11.01,279.0,74.0,20.6,封开县城区办税服务厅,84.099999999999994
24412830100,12.69,19.0,1.62,10.76,404.0,209.0,0.0,高要市城区办税服务厅,84.0
24412240100,10.56,12.0,1.36,10.77,502.0,169.0,0.0,怀集县城区办税服务厅,83.900000000000006
24412830400,2.03,5.0,1.06,5.54,125.0,33.0,6.9,高要市白土办税服务厅,83.700000000000003
24412840200,7.77,1.0,0.08,6.65,111.0,6.0,0.4,四会市大沙办税服务厅,83.299999999999997
kpi划分,82.393333333333331,---,---,---,---,---,---,---
24412840500,0.0,1.0,0.05,11.38,60.0,3.0,0.2,四会市地豆办税服务厅,81.5
24412260400,10.34,1.0,0.73,9.33,11.0,4.0,0.2,德庆县悦城办税服务厅,81.299999999999997
24412250400,7.41,2.0,0.09,15.06,21.0,4.0,0.3,封开县渔涝办税服务厅,79.799999999999997
24412230300,30.0,0.0,0.04,19.34,47.0,2.0,0.7,广宁县石涧办税服务厅,76.0
24412840400,33.33,1.0,4.24,20.57,45.0,2.0,23.5,四会市江谷办税服务厅,75.5
