办税服务厅代码,等候超时率,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,占空比,FWT,kpi
24406048000,26.08,12.0,2.24,19.51,2934.0,718.0,39.9,禅城区办税服务厅,90.700000000000003
24406050500,37.33,35.0,1.83,23.57,1398.0,336.0,46.0,南海区桂城办税服务厅,88.299999999999997
kpi划分,87.792857142857144,---,---,---,---,---,---,---
24406051600,18.56,13.0,1.93,15.01,911.0,222.0,35.2,南海区西樵办税服务厅,87.400000000000006
24406070100,32.71,11.0,2.35,11.15,1146.0,187.0,31.6,西南分局办税厅,87.200000000000003
24406070400,2.05,5.0,1.93,4.09,211.0,48.0,12.8,三水区白坭办税服务厅,86.5
24406050900,24.85,15.0,2.01,16.93,1202.0,222.0,37.6,南海区里水办税服务厅,86.400000000000006
24406081400,4.04,9.0,0.72,4.74,156.0,46.0,6.2,高明区明城办税服务厅,86.099999999999994
24406050300,26.21,14.0,2.18,19.0,1119.0,225.0,40.0,南海区大沥办税服务厅,85.599999999999994
24406051100,38.47,12.0,1.79,26.09,1398.0,218.0,42.0,南海区狮山办税服务厅,85.299999999999997
24406081100,5.71,13.0,1.67,9.3,633.0,202.0,0.0,高明区荷城办税服务厅,85.299999999999997
24406070100,8.06,9.0,1.87,8.67,348.0,100.0,19.6,西南分局办税厅,85.0
kpi划分,84.85535714285713,---,---,---,---,---,---,---
24406070500,12.62,7.0,2.84,11.13,500.0,99.0,38.2,三水区乐平办税服务厅,84.5
kpi划分,84.612499999999983,---,---,---,---,---,---,---
24406051300,3.08,8.0,1.88,5.51,658.0,136.0,0.0,南海区丹灶办税服务厅,84.299999999999997
24406081300,6.64,5.0,1.58,7.99,148.0,41.0,8.2,高明区杨和办税服务厅,83.900000000000006
24406081500,1.6,3.0,1.17,3.93,112.0,18.0,7.9,高明区更合办税服务厅,82.799999999999997
24406042500,29.54,12.0,2.35,19.74,596.0,152.0,30.3,禅城区南庄办税服务厅,82.299999999999997
24406070700,15.88,5.0,3.08,11.27,333.0,69.0,22.4,三水区大塘办税服务厅,82.099999999999994
24406051400,34.4,7.0,2.47,22.06,474.0,83.0,31.0,南海区九江办税服务厅,80.799999999999997
24406051000,56.51,13.0,1.85,33.87,880.0,118.0,47.3,南海区罗村办税服务厅,80.5
