办税服务厅代码,等候超时率,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,占空比,FWT,kpi
24419330000,9.31,23.0,1.56,11.22,876.0,433.0,30.7,虎门办税服务厅,94.900000000000006
24406048000,26.08,12.0,2.24,19.51,2934.0,718.0,39.9,禅城区办税服务厅,94.900000000000006
24419080000,28.72,28.0,2.05,22.14,925.0,434.0,33.9,厚街办税服务厅,94.200000000000003
24401110200,5.33,18.0,2.04,10.27,957.0,523.0,26.2,三元里办税服务厅,94.099999999999994
24406050500,37.33,35.0,1.83,23.57,1398.0,336.0,46.0,南海区桂城办税服务厅,94.0
24406060100,23.32,13.0,2.43,19.01,1120.0,281.0,46.0,容桂办税服务厅,94.0
24401060060,8.91,18.0,3.34,21.12,1584.0,992.0,26.6,珠江新城办税服务厅,93.599999999999994
24412020100,6.37,10.0,1.51,7.33,2098.0,487.0,0.0,端州区城西办税服务厅,93.299999999999997
24401050012,20.29,15.0,2.05,19.51,1826.0,792.0,26.3,海珠办税服务厅,93.200000000000003
24406060500,2.57,14.0,2.5,6.61,532.0,163.0,47.7,北窖办税服务厅,93.099999999999994
24404020009,0.0,28.0,0.87,1.53,843.0,325.0,14.3,珠海市香洲区社保费征收办税服务厅,93.099999999999994
24401030015,7.84,12.0,2.08,14.58,1263.0,534.0,14.1,荔湾第二办税服务厅,93.0
24401040007,20.62,11.0,2.62,23.42,1843.0,1122.0,18.0,越秀区国地税办税厅,92.5
24419300000,38.65,44.0,2.19,34.1,1184.0,802.0,38.9,东城办税服务厅,92.400000000000006
24420380003,27.08,19.0,1.59,20.85,1164.0,311.0,34.6,中山市城区办税服务厅,92.299999999999997
24418230400,13.82,11.0,1.5,13.72,491.0,130.0,100.0,阳山县小江办税服务厅,92.299999999999997
24407824000,26.78,20.0,0.45,20.64,3519.0,369.0,20.1,新会区今古洲办税服务厅,92.200000000000003
24419120000,20.14,32.0,1.69,16.58,796.0,332.0,29.9,寮步办税服务厅,92.200000000000003
24406060900,16.36,20.0,0.67,16.32,1170.0,175.0,41.2,龙江办税服务厅,92.099999999999994
24419280000,39.02,23.0,2.59,31.27,1201.0,742.0,30.5,南城办税服务厅,91.900000000000006
24402040900,15.25,17.0,1.01,12.88,955.0,255.0,38.3,浈江区风采办税服务厅,91.799999999999997
