办税服务厅代码,等候超时率,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,占空比,FWT,kpi
24402040900,15.25,17.0,1.01,12.88,955.0,255.0,38.3,浈江区风采办税服务厅,93.900000000000006
kpi划分,88.808333333333337,---,---,---,---,---,---,---
24402030800,12.22,18.0,1.28,11.94,492.0,192.0,12.2,武江区西河办税服务厅,87.400000000000006
24402210200,12.76,13.0,1.28,11.17,370.0,99.0,20.1,曲江区马坝办税服务厅,87.400000000000006
24402250300,7.65,4.0,0.45,8.85,358.0,26.0,10.2,乐昌市坪石办税服务厅,87.299999999999997
24402220200,1.85,5.0,0.9,3.56,438.0,79.0,0.0,始兴县城区地方税务局,87.099999999999994
24402320200,8.31,7.0,0.67,8.79,540.0,74.0,6.8,乳源县乳城办税服务厅,86.5
kpi划分,85.570833333333326,---,---,---,---,---,---,---
24402240200,13.56,8.0,1.29,10.8,460.0,82.0,0.0,仁化县城区税务分局,85.5
24402230200,15.07,2.0,0.46,17.76,169.0,21.0,2.1,南雄市城区办税服务厅,83.400000000000006
24402330200,17.14,9.0,1.06,11.9,304.0,59.0,9.5,新丰县城区办税服务厅,83.099999999999994
24402290200,25.5,10.0,1.01,44.53,279.0,84.0,100.0,翁源县城区办税服务厅,83.099999999999994
kpi划分,82.849999999999994,---,---,---,---,---,---,---
24402030700,18.19,8.0,1.39,17.08,186.0,56.0,11.8,武江区西联办税服务厅,80.700000000000003
24402320300,8.41,1.0,0.87,13.65,27.0,8.0,1.3,乳源县桂头办税服务厅,80.299999999999997
24402040600,16.39,1.0,0.65,20.14,52.0,5.0,3.5,浈江区犁市办税服务厅,79.299999999999997
