办税服务厅代码,等候超时率,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,占空比,FWT,kpi
24401110200,5.33,18.0,2.04,10.27,957.0,523.0,26.2,三元里办税服务厅,92.099999999999994
24401130600,4.59,16.0,1.7,6.69,647.0,208.0,28.0,石基办税服务厅,90.900000000000006
24401050012,20.29,15.0,2.05,19.51,1826.0,792.0,26.3,海珠办税服务厅,90.900000000000006
24401130300,12.66,17.0,2.13,13.43,923.0,246.0,34.8,大石办税服务厅,90.799999999999997
24401060060,8.91,18.0,3.34,21.12,1584.0,992.0,26.6,珠江新城办税服务厅,89.599999999999994
24401110900,1.53,15.0,1.6,3.55,393.0,93.0,26.3,太和办税服务厅,89.400000000000006
24401130700,4.5,17.0,1.34,7.75,579.0,177.0,23.0,沙湾办税服务厅,88.900000000000006
24401840100,2.88,9.0,1.84,4.68,452.0,190.0,20.7,街口办税服务厅,88.700000000000003
24401120007,4.42,8.0,0.69,7.08,972.0,177.0,12.8,黄埔办税服务厅,88.299999999999997
24401110400,6.27,20.0,1.57,8.84,578.0,239.0,18.3,石井办税服务厅,88.200000000000003
24401130100,12.82,8.0,2.21,13.36,1011.0,122.0,36.9,罗家办税服务厅,88.200000000000003
kpi划分,87.704385964912277,---,---,---,---,---,---,---
24401130400,13.8,15.0,2.51,13.27,660.0,212.0,28.5,南村办税服务厅,87.200000000000003
24401140500,2.59,11.0,1.55,4.7,319.0,101.0,16.1,狮岭办税服务厅,86.599999999999994
24401040007,20.62,11.0,2.62,23.42,1843.0,1122.0,18.0,越秀区国地税办税厅,86.5
24401030015,7.84,12.0,2.08,14.58,1263.0,534.0,14.1,荔湾第二办税服务厅,86.099999999999994
24401130500,3.36,13.0,2.02,5.5,219.0,88.0,18.3,石楼办税服务厅,85.700000000000003
24401970600,1.63,5.0,0.81,3.65,124.0,36.0,6.7,广州开发区九龙办税服务厅,85.400000000000006
24401110004,0.54,8.0,1.57,1.84,93.0,49.0,6.0,江高办税服务厅,85.299999999999997
kpi划分,85.215789473684211,---,---,---,---,---,---,---
24401110003,4.3,12.0,2.3,5.89,129.0,48.0,17.1,人和办税服务厅,85.200000000000003
24401060061,19.35,20.0,2.84,16.87,647.0,474.0,16.4,员村办税服务厅,85.0
24401110002,1.56,6.0,1.4,2.96,96.0,27.0,10.7,钟落潭办税服务厅,85.0
24401060062,9.29,16.0,2.98,9.65,399.0,324.0,21.8,龙洞办税服务厅,85.0
24401830600,8.24,21.0,2.38,8.37,149.0,122.0,23.6,永和办税服务厅,84.900000000000006
24401790600,0.44,8.0,1.6,3.11,226.0,68.0,12.7,广州南沙东涌办税服务厅,84.799999999999997
24401970500,4.98,8.0,1.77,8.08,379.0,146.0,17.6,广州开发区西区办税服务厅,84.599999999999994
24401140700,2.62,4.0,1.43,4.42,139.0,42.0,8.5,花东办税服务厅,84.400000000000006
24401110800,1.95,8.0,1.39,4.55,379.0,132.0,7.5,同和办税服务厅,84.400000000000006
24401790700,4.86,9.0,2.46,6.46,320.0,111.0,21.3,广州南沙大岗办税服务厅,84.400000000000006
24401840002,2.3,5.0,1.66,3.87,61.0,32.0,10.2,太平办税服务厅,84.400000000000006
24401970300,0.32,3.0,0.51,1.26,85.0,27.0,3.7,广州开发区永和区办税服务厅,84.200000000000003
24401970400,10.45,10.0,1.45,10.52,326.0,108.0,20.1,广州开发区萝岗办税服务厅,84.200000000000003
24401120200,0.55,3.0,2.34,1.72,22.0,10.0,6.7,黄埔区长洲所办税服务厅,84.0
24401110001,0.53,9.0,0.8,2.39,118.0,36.0,4.8,竹料办税服务厅,83.900000000000006
24401140600,3.43,6.0,1.18,6.54,131.0,44.0,10.0,花山办税服务厅,83.900000000000006
24401790400,1.73,5.0,2.3,3.46,91.0,31.0,9.9,广州南沙第四分局办税服务厅,83.799999999999997
24401130100,39.34,11.0,1.59,27.54,1417.0,292.0,31.5,城区办税服务厅,83.799999999999997
24401120007,0.0,0.0,0.0,5.25,29.0,1.0,0.0,黄埔区契税点办税服务厅,83.400000000000006
24401840006,3.95,1.0,0.56,2.84,10.0,4.0,0.8,吕田办税服务厅,83.400000000000006
24401140300,2.6,4.0,0.95,3.53,75.0,25.0,5.0,炭步办税服务厅,83.299999999999997
24401120100,1.96,7.0,0.85,4.28,132.0,36.0,4.3,黄埔区南岗所办税服务厅,83.200000000000003
24401830300,9.08,3.0,2.42,9.05,59.0,37.0,15.3,仙村办税服务厅,82.900000000000006
24401140400,1.34,3.0,1.26,2.85,54.0,24.0,3.6,赤坭办税服务厅,82.799999999999997
24401790200,3.16,3.0,2.46,5.13,100.0,38.0,11.6,广州南沙第二分局办税服务厅,82.599999999999994
24401790100,24.98,14.0,1.94,20.32,770.0,294.0,19.8,广州南沙第一三分局办税服务厅,82.299999999999997
kpi划分,82.194736842105272,---,---,---,---,---,---,---
24401830900,14.52,4.0,2.7,10.95,59.0,27.0,18.2,派潭办税服务厅,82.0
24401840003,8.57,5.0,2.22,8.15,43.0,22.0,9.7,鳌头办税服务厅,81.900000000000006
24401000023,6.64,10.0,2.48,9.01,99.0,67.0,10.7,大企业局,81.900000000000006
