,办税服务厅代码,等候超时率,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,占空比,类编号,前台人数,评价率,满意率,占空比
166,24453210100,7.43,13,1.41,9.78,608,196,21.9,0,27,4,4,21.9
167,24452810900,100,1,0,305.88,3,3,0,3,12,87,87,1.3
168,24452810100,12.6,3,0.19,14.66,285,19,1.3,3,30,26,26,9.6
169,24402210200,7.13,13,0.65,8.31,627,86,9.6,0,13,0,0,8.6
170,24419020000,5.53,3,1.87,5.84,105,23,8.6,3,17,28,28,31.5
171,24406061000,6.78,6,2.93,6.98,211,59,31.5,2,19,0,0,35.6
172,24419100000,6.1,13,2.62,7.82,209,78,35.6,2,8,81,81,2.2
173,24451980100,3.7,2,5.66,5.1,4,11,2.2,3,12,0,0,38.1
174,24419220000,18.19,10,1.8,13.95,265,76,38.1,2,8,8,8,0.7
175,24414210300,0,1,0.09,0,59,7,0.7,3,9,0,0,21.5
176,24414210800,2.4,16,1.08,5.27,272,61,21.5,0,8,75,75,3.3
177,24414210200,0,1,0.22,0,88,9,3.3,3,24,0,0,22.7
178,24414219000,10.33,59,0.94,12.68,797,324,22.7,1,5,19,19,3
179,24414210900,0,1,0.28,0,60,8,3,3,6,9,9,0.9
180,24414210400,0,1,0.11,0,56,3,0.9,3,6,97,97,1.1
181,24414210700,0,0,1.04,0,11,6,1.1,3,58,1,1,34
182,24414020000,36.58,29,0.76,24.23,3608,591,34,1,2,56,56,6.8
183,24452020400,6.01,9,1.18,7,417,76,8.8,3,12,66,66,8.8
184,24452020000,1.9,3,2.44,2.9,10,5,1.4,3,2,49,49,1.4
185,24452020300,2.92,13,0.86,7,262,68,11.9,0,10,46,46,11.9
186,24452020100,9.09,2,3.37,4.93,3,3,0.1,3,2,73,73,0.1
187,24419160000,44.28,20,1.49,31.61,514,147,45.9,2,14,0,0,45.9
188,24419230000,9.24,15,2,10.55,345,104,25.8,0,10,1,1,25.8
189,24402030800,13.26,15,1.11,14,472,155,10.4,0,16,1,1,10.4
190,24402030700,6.29,6,1.48,8.52,171,48,8.4,3,11,86,86,8.4
191,24415910100,7.69,2,0.28,8.13,176,8,1.4,3,13,57,57,1.4
192,24415910200,1.23,17,0.52,3.64,381,130,4.5,3,17,81,81,4.5
193,24417020600,1.24,16,0.69,4.52,939,234,14,0,20,56,56,14
194,24417020200,2.93,17,0.52,7.75,1048,227,19.4,0,21,1,1,19.4
195,24407041009,5.87,10,1.45,10.55,409,146,19.4,0,29,7,7,19.4
196,24419090000,21.28,10,2.02,18.1,324,97,43.8,2,11,0,0,43.8
197,24419070000,1.59,4,3.31,1.83,66,26,7.2,3,8,1,1,7.2
198,24402040600,18.18,1,0.15,26.73,27,2,0.4,3,6,36,36,0.4
199,24402040900,9.57,16,0.69,11.06,1323,228,15.1,0,32,66,66,15.1
200,24415210100,1.19,6,0.37,3.55,746,77,6.1,3,17,1,1,6.1
201,24401050012,16.77,14,1.98,15.43,1972,852,25.3,1,156,2,2,25.3
202,24418020300,40.32,12,0.91,28.46,1549,329,24.7,1,52,66,66,24.7
203,24418020400,37.42,11,1.6,29.25,928,311,26.2,1,58,99,99,26.2
204,24418270100,22.02,19,0.94,17.31,1331,204,31.8,2,35,97,97,31.8
205,24419170000,2.98,12,1.67,5.66,362,156,18.9,0,14,0,0,18.9
206,24418970200,16.64,4,0.63,15.16,180,34,6.3,3,6,91,91,6.3
207,24418970300,29.28,8,1.12,20.27,227,36,13,0,6,99,99,13
208,24418970100,5.89,7,1.17,7.38,261,53,8.2,3,17,96,96,8.2
209,24451021500,12.98,3,0.43,14.09,796,29,18.2,0,10,0,0,18.2
210,24416020200,98.28,5,7.89,53.4,6,8,5.5,3,2,15,15,5.5
211,24416020019,11.07,29,0.98,14.37,819,211,18.2,0,18,6,6,18.2
212,24416020300,0.43,18,1.04,3.22,582,147,17.6,0,11,10,10,17.6
213,24409035300,0,2,0.21,6.06,36,6,0.3,3,3,66,66,0.3
214,24409035500,5.62,7,0.66,8.29,172,35,6.2,3,12,94,94,6.2
215,24405141100,100,0,0,81.13,0,1,0,3,10,100,100,0
216,24405131000,51.52,4,0.95,28.07,155,35,5.4,3,19,66,66,5.4
217,24405151200,28.99,2,0.7,35.28,174,27,1.9,3,21,11,11,1.9
218,24405121500,0,1,0.12,1.13,109,2,0.4,3,10,50,50,0.4
219,24409235100,4.79,9,0.91,9.27,875,165,35.2,2,26,95,95,35.2
220,24401130400,7.58,14,2.46,11.09,718,203,37.1,2,30,0,0,37.1
221,24401130100,39.84,14,1.58,27.32,1395,352,27.9,1,39,2,2,27.9
222,24401130300,6.75,17,1.96,11.28,1077,242,36.9,2,38,1,1,36.9
223,24401130700,6.31,16,1.36,9.07,579,167,23.5,0,16,6,6,23.5
224,24401130600,4.58,15,1.63,6.82,666,192,28.3,2,19,3,3,28.3
225,24401130500,2.07,12,1.91,5.12,214,81,18.6,0,11,0,0,18.6
226,24401130100,12.82,8,2.21,13.36,1011,122,38.4,2,20,0,0,38.4
227,24401110200,4.28,18,2.1,9.15,942,538,26,1,51,58,57,26
228,24401110003,4.67,12,2.31,5.79,141,49,18.7,0,6,0,0,18.7
229,24401110800,1.78,9,1.53,4.59,356,133,7.9,3,29,6,6,7.9
230,24401110900,1.35,16,1.76,3.41,384,94,27.8,2,27,2,2,27.8
231,24401110004,0.09,8,1.54,1.67,102,49,6.9,3,13,0,0,6.9
232,24401110400,4.5,20,1.5,7.96,625,239,18.6,0,48,3,3,18.6
233,24401110001,0.71,9,0.79,2.36,127,33,5.2,3,10,0,0,5.2
234,24401110002,0.23,5,1.1,1.98,112,25,10.2,3,11,1,1,10.2
235,24419260000,27.12,16,1.68,15.13,295,69,29.9,2,11,0,0,29.9
236,24419050000,2.95,15,2.14,5.89,380,136,32.3,2,16,0,0,32.3
237,24419320000,10.15,5,1.26,11.07,210,46,22.4,0,14,0,0,22.4
238,,38.96,10,6.75,34.57,208,196,10,0,40,43,43,10
239,24406048000,1.9,9,2.39,4.07,2281,563,40.2,1,129,93,93,40.2
240,24406042500,1.21,18,2.04,3.49,392,101,33.9,2,13,93,93,33.9
241,24452970001,17.31,3,0.12,19.46,121,3,1.3,3,4,92,92,1.3
242,24412020100,2.45,8,1.34,3.75,1850,379,19.9,1,85,26,26,19.9
243,24412020009,4.56,14,2.26,5.5,559,118,25.9,0,19,24,24,25.9
244,24412020008,0.04,14,0.76,1,536,124,10.2,0,14,0,0,10.2
245,24416210700,20,2,0.88,12.49,10,5,2.9,3,6,67,67,2.9
246,24416210400,18.18,8,0.89,15.75,10,11,1.7,3,6,73,73,1.7
247,24416210100,1.13,10,1.02,4.11,474,85,25.1,0,9,12,12,25.1
248,24416210600,19.51,2,1.22,16.97,10,7,2.5,3,4,63,63,2.5
249,24416210300,0,4,0,6.17,35,6,0,3,2,83,83,0
250,24404990800,5.98,4,1.38,7.28,152,36,7,3,19,14,14,7
251,24404990700,10.43,6,1.73,10.05,195,51,12.2,0,11,60,60,12.2
252,24453810500,1.51,15,1.63,4.12,521,259,13.5,0,23,1,1,13.5
253,24402290200,20.74,8,0.85,51.14,292,63,14.6,0,12,73,73,14.6
254,24401140300,0.27,3,0.84,2.45,51,17,4,3,6,1,1,4
255,24401140500,0.22,9,1.56,2.84,255,81,14.7,0,13,7,7,14.7
256,24401140700,0.15,3,1.53,1.66,102,30,6.8,3,12,1,1,6.8
257,24401140600,0,4,0.99,2.73,82,30,6.4,3,9,0,0,6.4
258,24401140100,30,0,0.02,13.07,123,15,0.5,3,6,3,3,3.5
259,24401140400,0.93,2,1.26,2.54,32,15,3.5,3,27,57,57,23.6
260,24418810100,19.28,10,1.74,17.09,377,111,23.6,0,37,3,3,25.5
261,24409021500,5.32,14,1.05,8.8,1670,355,25.5,1,6,86,86,13.7
262,24409021600,0.51,10,0.46,2.44,552,62,13.7,0,13,1,1,18.5
263,24419270000,7.5,9,2.15,8.18,270,110,18.5,0,130,0,0,13.7
264,24401030015,1.79,11,2.16,14.98,1200,519,13.7,1,33,0,0,24.3
265,24419310000,17.93,17,2.08,15.03,469,216,24.3,0,4,99,99,3.5
266,24452960001,13.82,4,0.36,12.41,103,7,3.5,3,42,50,50,0.4
267,,33.33,0,0.4,24.65,1,3,0.4,3,12,4,4,24.3
268,24407031100,43.14,16,0.95,23.65,984,113,24.3,0,28,2,2,25.9
269,24407031200,36.73,23,1.72,21.97,617,219,25.9,0,2,96,96,0.6
270,24414960004,0,1,0.13,0,51,4,0.6,3,19,0,0,17.6
271,24414279000,11.68,22,0.7,13.21,848,249,17.6,0,38,1,1,29.3
272,24419330000,2.82,17,1.3,6.94,729,326,29.3,2,19,0,0,21.4
273,24420370003,33.29,11,1.76,24.18,585,135,21.4,0,8,0,0,11.6
274,24419200000,2.78,9,2.32,4.3,99,57,11.6,0,33,0,0,44.3
275,24408020006,91.7,9,2.47,66.86,836,200,44.3,2,164,0,0,17.8
276,24401040007,17.29,12,2.72,22.16,1983,1222,17.8,1,18,99,99,36.5
277,24418820100,35.23,16,0.82,26.32,1054,190,36.5,2,3,48,48,8
278,24416230200,4.38,4,8.59,6.43,8,23,8,3,6,70,70,3
279,24416230800,21.35,3,2.04,25.54,18,47,3,3,3,83,83,0
280,24416230600,50,2,0,21.4,0,3,0,3,7,100,100,0
281,24408231000,0,0,0,0.46,5,1,0,3,13,0,0,17.7
282,24419060000,0.41,8,2.1,1.62,225,99,17.7,0,28,46,46,20.6
283,24453220100,1.41,11,1.68,4.46,438,116,20.6,0,22,52,52,11.8
284,24404040700,6.65,6,1.47,6.93,355,77,11.8,0,19,0,0,12.9
285,24404040800,0.83,7,1.75,5.34,355,82,12.9,0,34,0,0,26.4
286,24419110000,7.08,21,1.88,7.36,769,331,26.4,1,16,26,26,30.4
287,24417230100,35.14,8,1.12,17.22,285,42,30.4,2,24,99,99,14.8
288,24418230400,8.84,13,0.59,10.75,663,147,14.8,0,24,0,0,17.6
289,24417810100,1.79,9,1.03,5.19,523,99,17.6,0,15,49,49,14.2
290,24417210100,5.78,11,1.06,9.55,320,63,14.2,0,3,40,40,0
291,24415210000,20,2,0,17.17,0,5,0,3,8,100,100,0
292,24415210000,50,2,0,34.05,0,2,0,3,4,0,0,0
293,24415210000,0,2,0.05,1.28,1,4,0,3,3,17,17,0
294,24415210000,16.67,2,0,7.25,0,2,0,3,3,0,0,0
295,24415210000,0,1,0,6.98,0,1,0,3,6,0,0,0
296,24415210000,100,2,0,21.92,0,2,0,3,4,75,75,0
297,24415210000,25,1,0,14.55,0,4,0,3,17,0,0,16
298,24415230100,4.32,7,0.35,6.36,603,69,16,0,28,6,6,53.7
299,24406060600,13.4,7,2.02,13.61,251,62,53.7,2,44,33,33,24.3
300,24408030010,9.96,10,1.82,10.29,1081,250,24.3,0,15,54,54,13.4
301,24451221100,26.46,5,0.8,27.31,163,30,13.4,0,38,0,0,17.2
302,24404020008,23.46,11,0.99,16,832,191,17.2,0,30,0,0,21.8
303,24404020009,0,28,1.16,1.94,906,335,21.8,1,11,0,0,29.4
304,24419040000,4.83,6,2.7,8.73,174,64,29.4,2,19,1,1,19.5
305,24409225100,3.63,11,0.5,6.59,1302,168,19.5,0,9,61,61,2.2
306,24416010005,16.23,5,2.1,19.71,15,14,2.2,3,38,0,0,0
307,24404980900,0,5,0.82,9.78,135,135,0,3,34,2,2,7.5
308,24412040001,19.73,15,0.55,17.65,462,150,7.5,3,18,96,96,12.2
309,24406081400,9.36,12,1.37,8.51,93,37,12.2,0,18,92,92,4.9
310,24406081500,0.48,3,1.47,3.44,49,9,4.9,3,15,92,92,10.2
311,24406081300,0.72,4,2.51,3.61,71,32,10.2,3,36,85,85,30.9
312,24406081100,0,10,1.48,3.44,421,144,30.9,2,31,8,8,24.5
313,24412830100,3.06,14,1.55,5.43,436,165,24.5,0,16,3,3,4.3
314,24412830300,1.01,5,0.49,1.98,160,36,4.3,3,14,1,1,6.9
315,24412830400,2.03,5,1.06,5.54,125,33,6.9,3,13,89,89,5
316,24412830200,1.07,3,0.69,2.31,144,21,5,3,12,57,57,19.6
317,24412830500,0.5,10,0.66,5.03,400,55,19.6,0,31,92,92,30.4
318,24407840300,20.77,11,0.8,15.43,1340,181,30.4,2,13,0,0,16.7
319,24419030000,3.66,6,2.78,8.18,190,58,16.7,0,10,0,0,12.1
320,24408110900,7.96,10,0.83,8.42,172,38,12.1,0,32,0,0,12.8
321,24401120007,3.04,8,0.63,6.47,1123,185,12.8,0,9,1,1,2.8
322,24401120100,2.05,6,0.8,4.33,113,31,2.8,3,8,0,0,0
323,24401120007,0,0,0,5.25,29,1,0,3,3,39,39,6.4
324,24401120200,1.05,2,2.61,1.71,18,9,6.4,3,16,1,1,44.8
325,24419150000,17.95,14,2.46,16.56,371,128,44.8,2,30,12,12,13
326,24412030003,1.06,7,1.27,4.03,267,65,13,0,11,17,17,12.1
327,24416220100,8.1,10,3.82,9.31,105,95,12.1,0,4,70,70,0.4
328,24416221000,7.58,3,1.27,15.89,5,7,0.4,3,27,3,3,57.7
329,24406060900,34.4,21,0.82,25.17,1177,162,57.7,2,43,23,23,3.5
330,24405071400,7.07,5,0.92,11.15,182,85,3.5,3,7,88,88,0
331,24413240400,8,2,0,8.34,44,6,0,3,11,4,4,0.1
332,24413240200,0,0,0.19,1.02,33,3,0.1,3,9,1,1,2.3
333,24413240900,2.48,3,0.47,5.83,97,17,2.3,3,19,0,0,9.3
334,24413240100,1.14,13,0.72,2.66,529,135,9.3,0,9,15,15,0.9
335,24413240600,51.85,1,0.27,25.46,29,3,0.9,3,,,,
