,办税服务厅代码,等候超时率,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,占空比,日平均在线窗口数,前台人数,评价率,满意率
87,24401830300,1.98,3,1.79,3.52,53,29,8.7,2,7,0,0
88,24401830600,0.7,16,1.62,2.82,142,97,16.2,5,9,0,0
89,24401830900,0.23,3,1.62,3.61,76,20,13.5,3,9,0,0
90,24413010100,11.6,24,0.49,10.61,1235,339,10.1,13,28,0,0
91,24413010200,8.65,7,1.21,9.49,174,29,12.7,4,10,98,98
92,24401000023,6.21,14,2.37,8.21,100,66,10.4,5,7,0,0
93,24406063000,0,0,0.19,0,58,5,1.1,2,8,6,6
94,24414229000,38.05,44,0.52,20.65,1476,383,21.9,6,24,31,31
95,24414220400,0,1,0,0,22,1,0,1,7,0,0
96,24414220200,0,1,0.3,0,66,9,3.8,1,6,96,96
97,24414220500,0,1,0.19,0,162,19,7.8,1,7,6,6
98,24414220300,0,0,0.12,0,87,6,1.2,2,9,76,76
99,24419130000,41.04,25,1.87,26.69,507,272,39.3,9,16,0,0
100,24419140000,4.8,18,2.05,7.05,478,165,36.1,9,16,0,0
101,24406060200,9.63,10,2.07,13.39,923,220,32.5,13,53,10,10
102,24406060200,21.31,4,2.06,18.47,322,48,18.2,7,17,0,0
103,24401060061,20.1,23,2.87,16.49,645,513,17.9,19,59,0,0
104,24401060060,3.68,18,3.38,16.86,1439,1030,25.4,53,181,1,1
105,24401060062,2.56,15,2.85,6.31,356,286,20.8,15,35,0,0
106,24402220200,0.07,4,0.67,2.39,492,65,21.9,4,18,64,64
107,24406060100,19.92,10,2.51,18.53,987,208,54.5,12,41,10,10
108,24419120000,5.31,24,2.18,7.87,529,271,29.8,10,26,0,0
109,24412250600,0,1,0.15,4.29,50,3,0.9,2,9,0,0
110,24412250100,38.87,11,1.45,24.65,364,85,22.2,6,22,0,0
111,24412250400,7.41,2,0.09,15.06,21,4,0.3,2,10,0,0
112,24420010007,2.5,9,1.03,5.8,861,162,16.4,13,25,0,0
113,24419210000,53.99,18,2.31,45.87,559,271,37.6,10,17,0,0
114,24414260200,0,1,0.41,0,73,5,6,1,5,26,26
115,24414269000,5.31,30,0.67,4.26,538,147,17.3,5,33,5,5
116,24414260600,0,1,0,0,0,6,0,1,5,65,65
117,24412230100,1.95,11,1.18,4.63,551,131,16.9,11,38,25,25
118,24412230300,30,0,0.04,19.34,47,2,0.7,2,14,0,0
119,24401970600,0.16,4,0.8,2.58,102,28,7.8,4,13,3,3
120,24401970300,0.19,2,0.69,1.9,71,24,4.9,5,10,0,0
121,24401970400,1.78,9,1.87,5.4,252,100,21.4,7,16,0,0
122,24401970500,0.36,7,1.92,3.03,291,127,18.8,12,37,1,1
123,24401970100,9.53,8,1.67,9.1,255,111,11.1,9,31,0,0
124,24420980005,66.63,21,2.33,45.04,763,257,25,12,30,0,0
125,24451970100,41.14,1,1.19,38.79,62,8,12.6,1,11,3,3
126,24407830200,14.76,16,2.37,16.28,411,208,22,11,88,12,12
127,24412260100,8.38,9,2.13,6.76,211,92,19.1,7,16,12,12
128,24412260400,10.34,1,0.73,9.33,11,4,0.2,3,8,52,52
129,24412260300,0,1,0.47,0.93,36,4,1.7,2,6,78,78
130,24412240100,2.24,12,1.02,5.74,523,146,13.1,10,26,94,94
131,24407850100,66.48,8,2.4,33.93,413,91,21.2,12,31,89,89
132,24407850200,0,1,0,0,74,1,0,1,4,100,100
133,24407851400,0,1,0,0,8,2,0,1,5,50,50
134,24413230900,2.58,3,0.42,5.55,124,17,1.6,3,8,83,83
135,24413230800,1.89,1,0,5.57,0,7,0,2,10,79,79
136,24413230200,14.18,1,0.18,11.92,155,6,0.6,5,10,0,0
137,24413230603,1.27,3,1.3,3.88,79,14,5.3,5,10,94,94
138,24413230100,8.01,19,0.74,8.72,971,250,14.7,11,20,0,0
139,24413230700,7.66,2,0.21,10.63,155,15,0.6,4,9,1,1
140,24413230300,1.9,4,0.64,4.53,100,20,3.3,4,18,47,47
141,24413230600,29.91,3,0.49,24.92,197,15,5.6,4,11,0,0
142,24413230500,19.44,2,0.99,17.46,57,9,5,3,23,8,8
143,24413022400,11.99,10,1.38,15.62,110,46,11.5,5,11,0,0
144,24413022200,46.24,4,0.5,17.79,96,13,2.1,5,13,0,0
145,24413022500,116.91,36,0.43,48,913,170,14.5,7,15,0,0
146,24413022300,14.38,25,0.38,14.22,947,482,8.5,10,23,0,0
147,24413022101,56.95,37,0.48,36.22,2105,607,14.9,14,39,0,0
148,24413022102,5.35,19,1.11,8.54,304,181,10.2,7,24,0,0
149,24452240000,4.16,9,0.51,6.35,248,34,6.9,4,9,86,86
150,24452240400,1.75,2,0.09,2.73,57,3,0.3,2,6,77,77
151,24413810300,1.82,3,0.81,2.89,75,27,2.2,6,12,6,6
152,24413810200,10.4,9,1.11,11.48,188,58,9.1,6,14,0,0
153,24413810100,72.96,38,0.87,37.5,962,367,17.3,11,31,0,0
154,24413810500,10,8,0.81,10.42,162,41,1.4,4,13,1,1
155,24413810600,1.78,3,1.19,3.94,95,20,3.7,6,9,0,0
156,24404901400,10.25,11,1.36,12.37,626,207,8.4,18,45,0,0
157,24404901300,13.6,14,0.94,14.88,950,202,13.3,12,34,1,1
158,24452212300,0.72,2,4.21,1.91,14,7,3.2,4,3,29,29
159,24452212500,6.38,2,2.64,6.38,8,4,1.6,2,2,81,81
160,24452211600,18.92,1,0.12,40.28,73,4,0.2,3,6,8,8
161,24452220800,0,2,0,1.53,54,3,0,2,6,33,33
162,24452220200,5,3,0.49,4.59,71,9,1.4,3,4,62,62
163,24404210200,17.36,13,2.2,14.07,973,241,30.5,15,31,53,53
164,24402330200,9.13,6,0.54,8.33,419,46,7.3,5,16,31,31
165,24407824000,29.76,23,0.46,21.48,4034,329,23.8,15,41,90,90
166,24453210100,7.43,13,1.41,9.78,608,196,21.9,12,27,4,4
167,24452810900,100,1,0,305.88,3,3,0,2,12,87,87
168,24452810100,12.6,3,0.19,14.66,285,19,1.3,6,30,26,26
169,24402210200,7.13,13,0.65,8.31,627,86,9.6,8,13,0,0
170,24419020000,5.53,3,1.87,5.84,105,23,8.6,6,17,28,28
171,24406061000,6.78,6,2.93,6.98,211,59,31.5,4,19,0,0
172,24419100000,6.1,13,2.62,7.82,209,78,35.6,6,8,81,81
173,24451980100,3.7,2,5.66,5.1,4,11,2.2,3,12,0,0
174,24419220000,18.19,10,1.8,13.95,265,76,38.1,4,8,8,8
175,24414210300,0,1,0.09,0,59,7,0.7,1,9,0,0
176,24414210800,2.4,16,1.08,5.27,272,61,21.5,3,8,75,75
177,24414210200,0,1,0.22,0,88,9,3.3,2,24,0,0
178,24414219000,10.33,59,0.94,12.68,797,324,22.7,6,5,19,19
179,24414210900,0,1,0.28,0,60,8,3,1,6,9,9
180,24414210400,0,1,0.11,0,56,3,0.9,1,6,97,97
181,24414210700,0,0,1.04,0,11,6,1.1,2,58,1,1
182,24414020000,36.58,29,0.76,24.23,3608,591,34,18,2,56,56
183,24452020400,6.01,9,1.18,7,417,76,8.8,9,12,66,66
184,24452020000,1.9,3,2.44,2.9,10,5,1.4,2,2,49,49
185,24452020300,2.92,13,0.86,7,262,68,11.9,6,10,46,46
186,24452020100,9.09,2,3.37,4.93,3,3,0.1,2,2,73,73
187,24419160000,44.28,20,1.49,31.61,514,147,45.9,7,14,0,0
188,24419230000,9.24,15,2,10.55,345,104,25.8,7,10,1,1
189,24402030800,13.26,15,1.11,14,472,155,10.4,9,16,1,1
190,24402030700,6.29,6,1.48,8.52,171,48,8.4,6,11,86,86
191,24415910100,7.69,2,0.28,8.13,176,8,1.4,4,13,57,57
192,24415910200,1.23,17,0.52,3.64,381,130,4.5,7,17,81,81
193,24417020600,1.24,16,0.69,4.52,939,234,14,11,20,56,56
194,24417020200,2.93,17,0.52,7.75,1048,227,19.4,6,21,1,1
195,24407041009,5.87,10,1.45,10.55,409,146,19.4,6,29,7,7
196,24419090000,21.28,10,2.02,18.1,324,97,43.8,6,11,0,0
197,24419070000,1.59,4,3.31,1.83,66,26,7.2,6,8,1,1
198,24402040600,18.18,1,0.15,26.73,27,2,0.4,1,6,36,36
199,24402040900,9.57,16,0.69,11.06,1323,228,15.1,13,32,66,66
200,24415210100,1.19,6,0.37,3.55,746,77,6.1,8,17,1,1
201,24401050012,16.77,14,1.98,15.43,1972,852,25.3,40,156,2,2
202,24418020300,40.32,12,0.91,28.46,1549,329,24.7,13,52,66,66
203,24418020400,37.42,11,1.6,29.25,928,311,26.2,11,58,99,99
204,24418270100,22.02,19,0.94,17.31,1331,204,31.8,9,35,97,97
205,24419170000,2.98,12,1.67,5.66,362,156,18.9,10,14,0,0
206,24418970200,16.64,4,0.63,15.16,180,34,6.3,3,6,91,91
207,24418970300,29.28,8,1.12,20.27,227,36,13,3,6,99,99
208,24418970100,5.89,7,1.17,7.38,261,53,8.2,7,17,96,96
209,24451021500,12.98,3,0.43,14.09,796,29,18.2,5,10,0,0
210,24416020200,98.28,5,7.89,53.4,6,8,5.5,4,2,15,15
211,24416020019,11.07,29,0.98,14.37,819,211,18.2,9,18,6,6
212,24416020300,0.43,18,1.04,3.22,582,147,17.6,8,11,10,10
213,24409035300,0,2,0.21,6.06,36,6,0.3,2,3,66,66
214,24409035500,5.62,7,0.66,8.29,172,35,6.2,5,12,94,94
215,24405141100,100,0,0,81.13,0,1,0,2,10,100,100
216,24405131000,51.52,4,0.95,28.07,155,35,5.4,6,19,66,66
217,24405151200,28.99,2,0.7,35.28,174,27,1.9,9,21,11,11
218,24405121500,0,1,0.12,1.13,109,2,0.4,2,10,50,50
219,24409235100,4.79,9,0.91,9.27,875,165,35.2,8,26,95,95
220,24401130400,7.58,14,2.46,11.09,718,203,37.1,12,30,0,0
221,24401130100,39.84,14,1.58,27.32,1395,352,27.9,22,39,2,2
222,24401130300,6.75,17,1.96,11.28,1077,242,36.9,14,38,1,1
223,24401130700,6.31,16,1.36,9.07,579,167,23.5,8,16,6,6
224,24401130600,4.58,15,1.63,6.82,666,192,28.3,9,19,3,3
225,24401130500,2.07,12,1.91,5.12,214,81,18.6,5,11,0,0
226,24401130100,12.82,8,2.21,13.36,1011,122,38.4,14,20,0,0
227,24401110200,4.28,18,2.1,9.15,942,538,26,24,51,58,57
228,24401110003,4.67,12,2.31,5.79,141,49,18.7,4,6,0,0
229,24401110800,1.78,9,1.53,4.59,356,133,7.9,13,29,6,6
230,24401110900,1.35,16,1.76,3.41,384,94,27.8,6,27,2,2
231,24401110004,0.09,8,1.54,1.67,102,49,6.9,5,13,0,0
232,24401110400,4.5,20,1.5,7.96,625,239,18.6,11,48,3,3
233,24401110001,0.71,9,0.79,2.36,127,33,5.2,4,10,0,0
